Code,Parent Code,Full Code,Meaning,User Sort Order,Effective From Date,Effective To Date,Usage Guidelines,Notes,SortPolicyOrder
PC02,,PC02,Proceeds of Crime Act 2002,,,,,,PC02
PC53,,PC53,Prevention of Crime Act 1953,,,,,,PC53
PC73,,PC73,Powers of Criminal Courts Act 1973,,,,,,PC73
PD49,,PD49,Prevention of Damage by Pests Act 1949,,,,,,PD49
PD63,,PD63,Protection of Depositors Act 1963,,,,,,PD63
PD83,,PD83,Pedal Cycles (Construction and Use) Regulations 1983,,,,,,PD83
PE01,,PE01,Protection of the Euro Against Counterfeiting Regulations 2001,,,,,,PE01
PE28,,PE28,Petroleum (Consolidation) Act 1928,,,,,,PE28
PE51,,PE51,Pet Animals Act 1951,,,,,,PE51
PE54,,PE54,Pests Act 1954,,,,,,PE54
PE77,,PE77,Protection from Eviction Act 1977,,,,,,PE77
PE86,,PE86,Control of Pesticides Regulations 1986,,,,,,PE86
PF16,,PF16,"Police, Factories, etc (Miscellaneous Provisions) Act 1916",,,,,,PF16
PF58,,PF58,Prevention of Fraud (Investments) Act 1958,,,,,,PF58
PF85,,PF85,Prohibition of Female Circumcision Act 1985,,,,,,PF85
PH25,,PH25,Public Health Act 1925,,,,,,PH25
PH36,,PH36,Public Health Act 1936,,,,,,PH36
PH37,,PH37,Public Health (Drainage of Trade Premises) Act 1937,,,,,,PH37
PH54,,PH54,Pharmacy Act 1954,,,,,,PH54
PH75,,PH75,Public Health Act 1875,,,,,,PH75
PH84,,PH84,Public Health (Control of Disease) Act 1984,,,,,,PH84
PH90,,PH90,Planning (Hazardous Substances) Act 1990,,,,,,PH90
PH97,,PH97,Protection from Harassment Act 1997,,,,,,PH97
PH98,,PH98,Private Hire Vehicles (London) Act 1998,,,,,,PH98
PI21,,PI21,Piracy Act 1721,,,,,,PI21
PI37,,PI37,Piracy Act 1837,,,,,,PI37
PI71,,PI71,Prevention of Oil Pollution Act 1971,,,,,,PI71
PI98,,PI98,Piracy Act 1698,,,,,,PI98
PJ11,,PJ11,Perjury Act 1911,,,,,,PJ11
PK72,,PK72,Park Regulation Act 1872,,,,,,PK72
PK78,,PK78,Protection of Children Act 1978,,,,,,PK78
PL02,,PL02,Police Reform 2002,,,,,,PL02
PL64,,PL64,Police Act 1964,,,,,,PL64
PL84,,PL84,Police and Criminal Evidence Act 1984,,,,,,PL84
PL90,,PL90,Planning (Listed Buildings and Conservation Areas) Act 1990,,,,,,PL90
PL96,,PL96,Police Act 1996,,,,,,PL96
PL97,,PL97,Police Act 1997,,,,,,PL97
PM08,,PM08,Public Meeting Act 1908,,,,,,PM08
PM86,,PM86,Protection of Military Remains Act 1986,,,,,,PM86
PM91,,PM91,Property Misdescriptions Act 1991,,,,,,PM91
PN04,,PN04,Pensions Act 2004,,,,,,PN04
PN06,,PN06,Prevention of Corruption Act 1906,,,,,,PN06
PO53,,PO53,Post Office Act 1953,,,,,,PO53
PO69,,PO69,Post Office Act 1969,,,,,,PO69
PO84,,PO84,Post Office (Protection) Act 1884,,,,,,PO84
PO99,,PO99,Protection of Children Act 1999,,,,,,PO99
PP00,,PP00,"Political Parties, Elections & Referendum Act 2000",,,,,,PP00
PP05,,PP05,Plant Protection Products Regulations 2005,,,,,,PP05
PP07,,PP07,"Police, Public Order and Criminal Justice (Scotland) Act 2006 (Consequential Provisions and Modifications) Order 2007",,,,,,PP07
PP62,,PP62,Poaching Prevention Act 1862,,,,,,PP62
PP87,,PP87,Pelican Pedestrian Crossing Regulations 1987,,,,,,PP87
PR00,,PR00,Pollution Prevention and Control Regulations (E & W) Order 2000,,,,,,PR00
PR52,,PR52,Prison Act 1952,,,,,,PR52
PR74,,PR74,Prices Act 1974,,,,,,PR74
PR95,,PR95,Prisoners (Return to Custody) Act 1995,,,,,,PR95
PR97,,PR97,Police (Property) Act 1997,,,,,,PR97
PS00,,PS00,Postal Services Act 2000,,,,,,PS00
PS01,,PS01,Private Security Industry Act 2001,,,,,,PS01
PS38,,PS38,Population (Statistics) Act 1938,,,,,,PS38
PS75,,PS75,Public Stores Act 1875,,,,,,PS75
PS90,,PS90,"Public Service Vehicles (Conduct of Drivers, Conductors, Passengers) 1990",,,,,,PS90
PS92,,PS92,Prison Security Act 1992,,,,,,PS92
PT00,,PT00,Terrorism Act 2000,,,,,,PT00
PT05,,PT05,Prevention of Terrorism Act 2005,,,,,,PT05
PT76,,PT76,Prevention of Terrorism (Temporary Provisions) Act 1976,,,,,,PT76
PT84,,PT84,Prevention of Terrorism (Temporary Provisions) Act 1984,,,,,,PT84
PT87,,PT87,Pilotage Act 1987,,,,,,PT87
PT89,,PT89,Prevention of Terrorism (Temporary Provisions) Act 1989,,,,,,PT89
PU36,,PU36,Public Order Act 1936,,,,,,PU36
PU86,,PU86,Public Order Act 1986,,,,,,PU86
PV64,,PV64,Plant Varieties and Seeds Act 1964,,,,,,PV64
PV81,,PV81,Public Passenger Vehicles Act 1981,,,,,,PV81
PV99,,PV99,Passenger Service Vehicles (Community Licences) Regulations 1999,,,,,,PV99
PW73,,PW73,Protection of Wrecks Act 1973,,,,,,PW73
PW96,,PW96,Party Wall Act 1996,,,,,,PW96
PZ71,,PZ71,Pedlars Act 1871,,,,,,PZ71
RA00,,RA00,Representation of the People Act 2000,,,,,,RA00
RA48,,RA48,Radioactive Substances Act 1948,,,,,,RA48
RA60,,RA60,Radioactive Substances Act 1960,,,,,,RA60
RA75,,RA75,Reservoirs Act 1975,,,,,,RA75
RB74,,RB74,"Rabies (Importation of Dogs, Cats and other Mammals Act) 1974",,,,,,RB74
RC86,,RC86,Road Vehicles (Construction and Use) Regulations 1986,,,,,,RC86
RD49,,RD49,Registered Designs Act 1949,,,,,,RD49
RD78,,RD78,Refuse Disposal (Amenity) Act 1978,,,,,,RD78
RE59,,RE59,Restriction of Offensive Weapons Act 1959,,,,,,RE59
RE77,,RE77,Rent Act 1977,,,,,,RE77
RF72,,RF72,Road Traffic (Foreign Vehicles) Act 1972,,,,,,RF72
RF80,,RF80,Reserve Forces Act 1980,,,,,,RF80
RF96,,RF96,Reserve Forces Act 1996,,,,,,RF96
RG51,,RG51,Rag Flock and Other Filling Materials Act 1951,,,,,,RG51
RH74,,RH74,Rehabilitation of Offenders Act 1974,,,,,,RH74
RH84,,RH84,Registered Homes Act 1984,,,,,,RH84
RI64,,RI64,Riding Establishments Act 1964,,,,,,RI64
RL01,,RL01,Railway Byelaws 2001,,,,,,RL01
RL05,,RL05,Railway Byelaws 2005,,,,,,RL05
RL40,,RL40,Railway Regulation Act 1840,,,,,,RL40
RL42,,RL42,Railway Regulation Act 1842,,,,,,RL42
RL45,,RL45,Railways Clauses Consolidation Act 1845,,,,,,RL45
RL89,,RL89,Road Vehicles Lighting Regulations 1989,,,,,,RL89
RO88,,RO88,Road Traffic Offenders Act 1988,,,,,,RO88
RP00,,RP00,Regulation of Investigatory Powers Act 2000,,,,,,RP00
RP49,,RP49,Representation of the People Act 1949,,,,,,RP49
RP76,,RP76,Restrictive Trade Practices Act 1976,,,,,,RP76
RP83,,RP83,Representation of the People Act 1983,,,,,,RP83
RP97,,RP97,Royal Parks and Other Open Spaces Regulations 1997,,,,,,RP97
RR35,,RR35,Restriction of Ribbon Development Act 1935,,,,,,RR35
RR84,,RR84,Road Traffic Regulation Act 1984,,,,,,RR84
RR96,,RR96,Rules of Air Regulations 1996,,,,,,RR96
RS09,,RS09,"Road Safety (Immobilisation, Removal and Disposal of Vehicles) Regulations 2009",,,,,,RS09
RS61,,RS61,Rivers (Prevention of Pollution) Act 1961,,,,,,RS61
RS84,,RS84,Road Transport (International Passenger Services) Regulations 1984,,,,,,RS84
RT03,,RT03,Railways and Transport Safety Act 2003,,,,,,RT03
RT33,,RT33,Road and Rail Traffic Act 1933,,,,,,RT33
RT60,,RT60,Road Traffic Act 1960,,,,,,RT60
RT72,,RT72,Road Traffic Act 1972,,,,,,RT72
RT88,,RT88,Road Traffic Act 1988,,,,,,RT88
RT89,,RT89,Road Traffic (Driver Licensing and Information Systems) 1989,,,,,,RT89
RT99,,RT99,Road Transport (Passenger Vehicles Cabotage) Regulations 1999,,,,,,RT99
RV02,,RV02,Road Vehicles (Registration and Licensing) Regulations 2002,,,,,,RV02
RV71,,RV71,Road Vehicles (Registration and Licensing) Regulations 1971,,,,,,RV71
RV98,,RV98,Road Vehicles (Authorised Weight) Regulations 1998,,,,,,RV98
RW68,,RW68,Regulation of Railways Act 1868,,,,,,RW68
RW89,,RW89,Regulation of Railways Act 1889,,,,,,RW89
SA00,,SA00,Sexual Offences (Amendment) Act 2000,,,,,,SA00
SA76,,SA76,Sexual Offences (Amendment) Act 1976,,,,,,SA76
SA92,,SA92,Sexual Offences (Amendment) Act 1992,,,,,,SA92
SB76,,SB76,Supplementary Benefits Act 1976,,,,,,SB76
SB85,,SB85,Submarine Telegraph Act 1885,,,,,,SB85
SB96,,SB96,Specified Bovine Material Order 1996,,,,,,SB96
SC00,,SC00,Sea Fishing (Enforcement of Community Conservation Measures) Order 2000,,,,,,SC00
SC07,,SC07,Serious Crime Act 2007,,,,,,SC07
SC92,,SC92,Servants Character Act 1792,,,,,,SC92
SD35,,SD35,Statutory Declaration Act 1835,,,,,,SD35
SD91,,SD91,Stamp Duties Management Act 1891,,,,,,SD91
SE00,,SE00,Sea Fishing (Enforcement of Community Satellite Monitoring) Order 2000,,,,,,SE00
SE02,,SE02,Transmissible Spongiform Encephalopaties -TSE Regulations 2002,,,,,,SE02
SE06,,SE06,Transmissible Spongiform Encephalopathies (No 2) Regulations 2006,,,,,,SE06
SF00,,SF00,Sea Fishing (Enforcement of Community Control Measures) Order 2000,,,,,,SF00
SF12,,SF12,Seal Fisheries (North Pacific) Act 1912,,,,,,SF12
SF66,,SF66,Sea Fisheries Regulation Act 1966,,,,,,SF66
SF67,,SF67,Sea Fish (Conservation) Act 1967,,,,,,SF67
SF68,,SF68,Sea Fisheries Act 1968,,,,,,SF68
SF70,,SF70,Sea Fish Industry Act 1970,,,,,,SF70
SF75,,SF75,Salmon and Freshwater Fisheries Act 1975,,,,,,SF75
SF83,,SF83,Sea Fisheries Act 1883,,,,,,SF83
SF86,,SF86,Salmon Act 1986,,,,,,SF86
SF95,,SF95,Seal Fisheries (North Pacific) Act 1895,,,,,,SF95
SF97,,SF97,Sex Offenders Act 1997,,,,,,SF97
SH50,,SH50,Shops Act 1950,,,,,,SH50
SH67,,SH67,Sea Fisheries (Shellfish) Act 1967,,,,,,SH67
SH68,,SH68,Sea Fisheries Act 1868,,,,,,SH68
SH87,,SH87,Sheriffs Act 1887,,,,,,SH87
SL74,,SL74,Slaughterhouses Act 1974,,,,,,SL74
SM64,,SM64,Scrap Metal Dealers Act 1964,,,,,,SM64
SN80,,SN80,Sunday Observance Act 1780,,,,,,SN80
SO05,,SO05,Serious Organised Crime and Police Act 2005,,,,,,SO05
SO59,,SO59,Street Offences Act 1959,,,,,,SO59
SO74,,SO74,Solicitors Act 1974,,,,,,SO74
SO96,,SO96,Sexual offences (Conspiracy and Incitement) Act 1996,,,,,,SO96
SO97,,SO97,Sexual Offences (Protected Material) Act 1997,,,,,,SO97
SP04,,SP04,Ships and Port Facility (Security) Regulations 2004,,,,,,SP04
SP67,,SP67,Slaughter of Poultry Act 1967,,,,,,SP67
SP85,,SP85,Sporting Events (Control of Alcohol etc) Act 1985,,,,,,SP85
SS06,,SS06,Seaman's and Soldier's False Characters Act 1906,,,,,,SS06
SS75,,SS75,Social Security Act 1975,,,,,,SS75
SS86,,SS86,Social Security Act 1986,,,,,,SS86
SS92,,SS92,Social Security Administration Act 1992,,,,,,SS92
ST47,,ST47,Statistics of Trade Act 1947,,,,,,ST47
ST72,,ST72,Sunday Theatre Act 1972,,,,,,ST72
ST94,,ST94,Sunday Trading Act 1994,,,,,,ST94
SU61,,SU61,Suicide Act 1961,,,,,,SU61
SV06,,SV06,Safeguarding Vulnerable Groups Act 2006,,,,,,SV06
SV77,,SV77,"70, 60 and 50 mph (Temporary Speed Limit) Order 1977",,,,,,SV77
SW96,,SW96,Special Waste Regulations 1996,,,,,,SW96
SX03,,SX03,Sexual Offences Act 2003,,,,,,SX03
SX56,,SX56,Sexual Offences Act 1956,,,,,,SX56
SX67,,SX67,Sexual Offences Act 1967,,,,,,SX67
SX85,,SX85,Sexual Offences Act 1985,,,,,,SX85
TA02,,TA02,Tobacco Advertising and Promotion Act 2002,,,,,,TA02
TA06,,TA06,Technical Assistance Control Regulations 2006,,,,,,TA06
TA27,,TA27,Transit of Animals Order 1927,,,,,,TA27
TA96,,TA96,Treasure Act 1996,,,,,,TA96
TB02,,TB02,Tobacco Products (Manufacture Presentation and Sale) (Safety) Regulations 2002.,,,,,,TB02
TC02,,TC02,Tax Credits Act 2002,,,,,,TC02
TC90,,TC90,Town and Country Planning Act 1990,,,,,,TC90
TD58,,TD58,Trading Representations (Disabled Persons) Act 1958,,,,,,TD58
TD68,,TD68,Trade Descriptions Act 1968,,,,,,TD68
TE06,,TE06,Terrorism (United Nations Measures) Order 2006,,,,,,TE06
TG03,,TG03,Trade in Goods (Control) Order 2003,,,,,,TG03
TG63,,TG63,Town Gardens Protection Act 1863,,,,,,TG63
TH68,,TH68,Theft Act 1968,,,,,,TH68
TH78,,TH78,Theft Act 1978,,,,,,TH78
TH82,,TH82,Taking of Hostages Act 1982,,,,,,TH82
TI47,,TI47,Towns Improvement Clauses Act 1847,,,,,,TI47
TK31,,TK31,Truck Act 1831,,,,,,TK31
TL68,,TL68,Telegraph Act 1868,,,,,,TL68
TL84,,TL84,Telecommunications Act 1984,,,,,,TL84
TM04,,TM04,Traffic Management Act 2004,,,,,,TM04
TM38,,TM38,Trade Marks Act 1938,,,,,,TM38
TM69,,TM69,Tattooing of Minors Act 1969,,,,,,TM69
TM70,,TM70,Taxes Management Act 1970,,,,,,TM70
TM94,,TM94,Trade Marks Act 1994,,,,,,TM94
TN42,,TN42,Treason Act 1842,,,,,,TN42
TN48,,TN48,Treason Felony Act 1848,,,,,,TN48
TN51,,TN51,Treason Act 1351,,,,,,TN51
TN95,,TN95,Treason Act 1795,,,,,,TN95
TP47,,TP47,Town Police Clauses Act 1847,,,,,,TP47
TR00,,TR00,Transport Act 2000,,,,,,TR00
TR06,,TR06,Terrorism Act 2006,,,,,,TR06
TR68,,TR68,Transport Act 1968,,,,,,TR68
TR80,,TR80,Transport Act 1980,,,,,,TR80
TS02,,TS02,Traffic Signs Regulations and General Directions 2002,,,,,,TS02
TS56,,TS56,Therapeutic Substances Act 1956,,,,,,TS56
TS64,,TS64,Trading Stamps Act 1964,,,,,,TS64
TS81,,TS81,Traffic Signs Regulations and General Directions 1981,,,,,,TS81
TS92,,TS92,Timeshare Act 1992,,,,,,TS92
TT68,,TT68,Theatres Act 1968,,,,,,TT68
TT92,,TT92,Telecommunications Terminal Equipment Regulations 1992,,,,,,TT92
TU74,,TU74,Trade Union and Labour Relations Act 1974,,,,,,TU74
TU92,,TU92,Trade Union and Labour Relations (Consolidation) Act 1992,,,,,,TU92
TW70,,TW70,Tramways Act 1870,,,,,,TW70
TW92,,TW92,Transport and Works Act 1992,,,,,,TW92
UD19,,UD19,Unlawful Drilling Act 1819,,,,,,UD19
UN94,,UN94,Uniforms Act 1894,,,,,,UN94
UN97,,UN97,United Nations Personnel Act 1997,,,,,,UN97
US71,,US71,Unsolicited Goods and Services Act 1971,,,,,,US71
VA83,,VA83,Value Added Tax Act 1983,,,,,,VA83
VA94,,VA94,Value Added Tax Act 1994,,,,,,VA94
VC01,,VC01,Vehicles (Crime) Act 2001,,,,,,VC01
VC06,,VC06,Violent Crime Reduction Act 2006,,,,,,VC06
VD07,,VD07,Vehicle Drivers (Certificates of Professional Competence) Regulations 2007,,,,,,VD07
VD17,,VD17,Venereal Diseases Act 1917,,,,,,VD17
VE02,,VE02,Road Traffic (Vehicle Emissions) (Fixed penalty) (England) Regs 2002,,,,,,VE02
VE71,,VE71,Vehicles (Excise) Act 1971,,,,,,VE71
VE94,,VE94,Vehicle Excise and Registration Act 1994,,,,,,VE94
VE97,,VE97,Vehicle Excise Duty (Immobilisation Removal & Disposal of Vehicles) Regulations 1997,,,,,,VE97
VG24,,VG24,Vagrancy Act 1824,,,,,,VG24
VM05,,VM05,Veterinary Medicines Regulations 2005,,,,,,VM05
VM06,,VM06,Veterinary Medicines Regulations 2006,,,,,,VM06
VR84,,VR84,Video Recordings Act 1984,,,,,,VR84
VS66,,VS66,Veterinary Surgeons Act 1966,,,,,,VS66
WA95,,WA95,Welfare of Animals (Slaughter and Killing) Regulations 1995,,,,,,WA95
WC40,,WC40,War Charities Act 1940,,,,,,WC40
WC81,,WC81,Wildlife and Countryside Act 1981,,,,,,WC81
WE03,,WE03,Waste and Emissions Trading Act 2003,,,,,,WE03
WE59,,WE59,Weeds Act 1959,,,,,,WE59
WI34,,WI34,Whaling Industry (Regulation) Act 1934,,,,,,WI34
WI91,,WI91,Water Industry Act 1991,,,,,,WI91
WM85,,WM85,Weights and Measures Act 1985,,,,,,WM85
WM96,,WM96,Wild Mammals (Protection) Act 1996,,,,,,WM96
WR03,,WR03,Water Act 2003,,,,,,WR03
WR45,,WR45,Water Act 1945,,,,,,WR45
WR63,,WR63,Water Resources Act 1963,,,,,,WR63
WR91,,WR91,Water Resources Act 1991,,,,,,WR91
WS89,,WS89,Water Supply (Water Quality) Regulations 1989,,,,,,WS89
WT06,,WT06,Wireless Telegraphy Act 2006,,,,,,WT06
WT49,,WT49,Wireless Telegraphy Act 1949,,,,,,WT49
WT67,,WT67,Wireless Telegraphy Act 1967,,,,,,WT67
YJ99,,YJ99,Youth Justice and Criminal Evidence Act 1999,,,,,,YJ99
ZP71,,ZP71,Zebra Pedestrian Crossing Regulations 1971,,,,,,ZP71
ZP97,,ZP97,"Zebra, Pelican & Puffin Pedestrian Crossings Reg's & General Directions 1997",,,,,,ZP97